Size;Threads;Time
32;2;0.000715 
64;2;0.000950 
128;2;0.005473 
256;2;0.067778 
512;2;0.623302 
1024;2;6.566652 
2048;2;101.995207 
32;4;0.000258 
64;4;0.000624 
128;4;0.003092 
256;4;0.069457 
512;4;0.665373 
1024;4;6.435785 
2048;4;108.093294 
32;8;0.000351 
64;8;0.001109 
128;8;0.013957 
256;8;0.083263 
512;8;0.756132 
1024;8;7.635958 
2048;8;126.649151 
32;16;0.001454 
64;16;0.002400 
128;16;0.010612 
256;16;0.102350 
512;16;0.759570 
1024;16;7.250553 
2048;16;129.455803 
32;32;0.002513 
64;32;0.004555 
128;32;0.015824 
256;32;0.082352 
512;32;0.782235 
1024;32;7.364794 
2048;32;130.959119 
32;2;0.000289 
64;2;0.000771 
128;2;0.009298 
256;2;0.042209 
512;2;0.632777 
1024;2;6.463868 
2048;2;106.158851 
32;4;0.000215 
64;4;0.001875 
128;4;0.009893 
256;4;0.067551 
512;4;0.626779 
1024;4;6.465028 
2048;4;108.314149 
32;8;0.001096 
64;8;0.001676 
128;8;0.002147 
256;8;0.078694 
512;8;0.763603 
1024;8;7.407870 
2048;8;129.957172 
32;16;0.001391 
64;16;0.002441 
128;16;0.013891 
256;16;0.073057 
512;16;0.773397 
1024;16;7.689990 
2048;16;130.221489 
32;32;0.002700 
64;32;0.003587 
128;32;0.013662 
256;32;0.086422 
512;32;0.789037 
1024;32;7.638880 
2048;32;132.370908 
32;2;0.000183 
64;2;0.000845 
128;2;0.006868 
256;2;0.070546 
512;2;0.619263 
1024;2;6.310914 
2048;2;109.288076 
32;4;0.000263 
64;4;0.000611 
128;4;0.010264 
256;4;0.068253 
512;4;0.656249 
1024;4;6.259229 
2048;4;108.776596 
32;8;0.000418 
64;8;0.001689 
128;8;0.010926 
256;8;0.076223 
512;8;0.724381 
1024;8;7.427091 
2048;8;128.724656 
32;16;0.001650 
64;16;0.003056 
128;16;0.012112 
256;16;0.091042 
512;16;0.776514 
1024;16;7.920369 
2048;16;131.540249 
32;32;0.002286 
64;32;0.003519 
128;32;0.014409 
256;32;0.079735 
512;32;0.773620 
1024;32;7.281136 
2048;32;126.618043 
32;2;0.000187 
64;2;0.000757 
128;2;0.006372 
256;2;0.068171 
512;2;0.625081 
1024;2;6.435176 
2048;2;108.627258 
32;4;0.000330 
64;4;0.000684 
128;4;0.003029 
256;4;0.065817 
512;4;0.644947 
1024;4;6.558845 
2048;4;109.841958 
32;8;0.000325 
64;8;0.000589 
128;8;0.008592 
256;8;0.084140 
512;8;0.671230 
1024;8;7.445509 
2048;8;134.967910 
32;16;0.001804 
64;16;0.003199 
128;16;0.014803 
256;16;0.078225 
512;16;0.850878 
1024;16;8.438301 
2048;16;146.795742 
32;32;0.004787 
64;32;0.003565 
128;32;0.012618 
256;32;0.088193 
512;32;0.859527 
1024;32;8.764251 
2048;32;126.704768 
32;2;0.000216 
64;2;0.000811 
128;2;0.007860 
256;2;0.074157 
512;2;0.646804 
1024;2;7.551268 
2048;2;113.760033 
32;4;0.000305 
64;4;0.001014 
128;4;0.008357 
256;4;0.075485 
512;4;0.650308 
1024;4;6.570440 
2048;4;111.662370 
32;8;0.002978 
64;8;0.000617 
128;8;0.004632 
256;8;0.085969 
512;8;0.785661 
1024;8;7.520068 
2048;8;128.741700 
32;16;0.001678 
64;16;0.002467 
128;16;0.010507 
256;16;0.084861 
512;16;0.727892 
1024;16;7.278355 
2048;16;131.179961 
32;32;0.002384 
64;32;0.003085 
128;32;0.013915 
256;32;0.076191 
512;32;0.764607 
1024;32;7.134093 
2048;32;132.406180 
32;2;0.000210 
64;2;0.000759 
128;2;0.007238 
256;2;0.041546 
512;2;0.645578 
1024;2;6.560357 
2048;2;114.148740 
32;4;0.000258 
64;4;0.000667 
128;4;0.004835 
256;4;0.071365 
512;4;0.666779 
1024;4;6.498787 
2048;4;111.138761 
32;8;0.000327 
64;8;0.000936 
128;8;0.013141 
256;8;0.084139 
512;8;0.757777 
1024;8;7.265704 
2048;8;131.776585 
32;16;0.001350 
64;16;0.002265 
128;16;0.012746 
256;16;0.072101 
512;16;0.765461 
1024;16;7.338392 
2048;16;132.825661 
32;32;0.002431 
64;32;0.003265 
128;32;0.012940 
256;32;0.073218 
512;32;0.813719 
1024;32;7.395054 
2048;32;133.709610 
32;2;0.000189 
64;2;0.001472 
128;2;0.009777 
256;2;0.072761 
512;2;0.628241 
1024;2;6.316832 
2048;2;111.723364 
32;4;0.000219 
64;4;0.000647 
128;4;0.008568 
256;4;0.094524 
512;4;0.654596 
1024;4;6.848578 
2048;4;113.735270 
32;8;0.000313 
64;8;0.000748 
128;8;0.012702 
256;8;0.074478 
512;8;0.728533 
1024;8;7.533467 
2048;8;129.542077 
32;16;0.001332 
64;16;0.002865 
128;16;0.010559 
256;16;0.087997 
512;16;0.790995 
1024;16;7.069409 
2048;16;130.542228 
32;32;0.002785 
64;32;0.003399 
128;32;0.011321 
256;32;0.076985 
512;32;0.718666 
1024;32;7.596640 
2048;32;132.972335 
32;2;0.000328 
64;2;0.000819 
128;2;0.008633 
256;2;0.071533 
512;2;0.689512 
1024;2;6.306078 
2048;2;108.635027 
32;4;0.000224 
64;4;0.000764 
128;4;0.009732 
256;4;0.073262 
512;4;0.655282 
1024;4;6.509533 
2048;4;114.812176 
32;8;0.000394 
64;8;0.000582 
128;8;0.013631 
256;8;0.071320 
512;8;0.718443 
1024;8;7.539528 
2048;8;144.647243 
32;16;0.001476 
64;16;0.002796 
128;16;0.013232 
256;16;0.080105 
512;16;1.079339 
1024;16;9.828494 
2048;16;134.232141 
32;32;0.002452 
64;32;0.003551 
128;32;0.011552 
256;32;0.077708 
512;32;0.707693 
1024;32;7.643100 
2048;32;137.998153 
32;2;0.000217 
64;2;0.000777 
128;2;0.005986 
256;2;0.068482 
512;2;0.642577 
1024;2;6.336866 
2048;2;109.437663 
32;4;0.000247 
64;4;0.000642 
128;4;0.009161 
256;4;0.071580 
512;4;0.641240 
1024;4;6.238825 
2048;4;112.575005 
32;8;0.000353 
64;8;0.000608 
128;8;0.011730 
256;8;0.076000 
512;8;0.747395 
1024;8;7.568354 
2048;8;134.324163 
32;16;0.001609 
64;16;0.002581 
128;16;0.012523 
256;16;0.078742 
512;16;0.687163 
1024;16;8.073068 
2048;16;135.431572 
32;32;0.002557 
64;32;0.003112 
128;32;0.011865 
256;32;0.079809 
512;32;0.757758 
1024;32;7.573615 
2048;32;136.443435 
32;2;0.000209 
64;2;0.000801 
128;2;0.010109 
256;2;0.076422 
512;2;0.666054 
1024;2;6.565076 
2048;2;109.614543 
32;4;0.000267 
64;4;0.000600 
128;4;0.003069 
256;4;0.070924 
512;4;0.647817 
1024;4;6.662344 
2048;4;111.924887 
32;8;0.000688 
64;8;0.000732 
128;8;0.008997 
256;8;0.086217 
512;8;0.852896 
1024;8;9.493641 
2048;8;131.654608 
32;16;0.001399 
64;16;0.002687 
128;16;0.010315 
256;16;0.078917 
512;16;0.728391 
1024;16;7.223515 
2048;16;132.170305 
32;32;0.002361 
64;32;0.003315 
128;32;0.011282 
256;32;0.084106 
512;32;0.743333 
1024;32;7.360536 
2048;32;133.794600 

